"gene","ctrl_mean","trt_mean","mal_ctrl_mean","fem_ctrl_mean","mal_trt_mean","fem_trt_mean","less50_ctrl_mean","great50_ctrl_mean","less50_trt_mean","great50_trt_mean","trt_ctrl_FoldChange","fem_trt_ctrl_FoldChange","mal_trt_ctrl_FoldChange","fem_mal_trt_FoldChange","fem_mal_ctrl_FoldChange","less50_trt_ctrl_FoldChange","great50_trt_ctrl_FoldChange"
"RP11-806O11.1",0.0263157894736842,0.368421052631579,0,0.03125,0,0.4375,0,0.0357142857142857,0,0.5,14,14,0,0.4375,0.03125,0,14
"CTB-57H20.1",0.0789473684210526,0.342105263157895,0.333333333333333,0.03125,0.166666666666667,0.375,0,0.107142857142857,0.7,0.214285714285714,4.33333333333333,12,0.5,2.25,0.09375,0.7,2
"LEPREL1-AS1",0.0526315789473684,0.263157894736842,0.166666666666667,0.03125,0,0.3125,0,0.0714285714285714,0.3,0.25,5,10,0,0.3125,0.1875,0.3,3.5
"RP4-771M4.3",0.0789473684210526,0.315789473684211,0.333333333333333,0.03125,0.333333333333333,0.3125,0.1,0.0714285714285714,0.3,0.321428571428571,4,10,1,0.9375,0.09375,3,4.5
"IGHV1OR15-6",0.0526315789473684,0.263157894736842,0.166666666666667,0.03125,0.166666666666667,0.28125,0.1,0.0357142857142857,0.3,0.25,5,9,1,1.6875,0.1875,3,7
"RN7SKP55",0.0526315789473684,0.263157894736842,0.166666666666667,0.03125,0.166666666666667,0.28125,0.1,0.0357142857142857,0.3,0.25,5,9,1,1.6875,0.1875,3,7
"RP11-304F15.6",0.0263157894736842,0.263157894736842,0,0.03125,0.166666666666667,0.28125,0,0.0357142857142857,0.4,0.214285714285714,10,9,0.166666666666667,1.6875,0.03125,0.4,6
"RP11-317J10.4",0.0263157894736842,0.289473684210526,0,0.03125,0.333333333333333,0.28125,0.1,0,0,0.392857142857143,11,9,0.333333333333333,0.84375,0.03125,0,0.392857142857143
"RP11-47A17.2",0.0263157894736842,0.236842105263158,0,0.03125,0,0.28125,0,0.0357142857142857,0.1,0.285714285714286,9,9,0,0.28125,0.03125,0.1,8
"RP5-1154L15.1",0.105263157894737,0.5,0.333333333333333,0.0625,0.333333333333333,0.53125,0,0.142857142857143,0.4,0.535714285714286,4.75,8.5,1,1.59375,0.1875,0.4,3.75
"ZNF90P3",0.0263157894736842,0,0,0.03125,0,0,0,0.0357142857142857,0,0,0,0,0,0,0.03125,0,0
"ZNF92P1Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF92P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF965P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNRF4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZP2",0.0526315789473684,0,0,0.0625,0,0,0,0.0714285714285714,0,0,0,0,0,0,0.0625,0,0
"ZP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZSCAN1",0.0526315789473684,0,0.166666666666667,0.03125,0,0,0.1,0.0357142857142857,0,0,0,0,0,0,0.1875,0,0
"ZSWIM5P3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZYG11AP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
