"SLC4A1","ensg00000004939","Sat Aug 15 07:37:34 2020"
"MAOB","ensg00000069535","Sat Aug 15 07:37:33 2020"
"RAP1GAP","ensg00000076864","Sat Aug 15 07:37:31 2020"
"ADAMTS2","ensg00000087116","Sat Aug 15 07:37:32 2020"
"ANXA3","ensg00000138772","Sat Aug 15 07:37:33 2020"
"SELENBP1","ensg00000143416","Sat Aug 15 07:37:31 2020"
"IFI27","ensg00000165949","Sat Aug 15 07:37:30 2020"
"METTL7B","ensg00000170439","Sat Aug 15 07:37:34 2020"
"IGHV1OR15-9","ensg00000188403","Sat Aug 15 07:37:28 2020"
"IGKV3D-20","ensg00000211625","Sat Aug 15 07:37:32 2020"
"IGLV1-51","ensg00000211644","Sat Aug 15 07:37:29 2020"
"IGHV1-24","ensg00000211950","Sat Aug 15 07:37:30 2020"
"IGHV1-14","ensg00000253709","Sat Aug 15 07:37:29 2020"
"IGLV1-41","ensg00000253818","Sat Aug 15 07:37:28 2020"
"IGHV7-4-1","ensg00000282122","Sat Aug 15 07:37:27 2020"
"IGHV5-10-1","ensg00000282651","Sat Aug 15 07:37:33 2020"
