Moderate Mean,Severe Mean,ICU mean,Ensemblid,Healthy Mean,ICU health foldChange,mod health foldChange,sevr health foldChange
32,51,157,ENSG00000076864,1.647058824,95.321428571,19.428571429,30.964285714
261.25,338.75,1049.75,ENSG00000143416,8.411764706,124.795454545,31.057692308,40.270979021
300,572.125,1989.25,ENSG00000211625,37.294117647,53.339511041,8.044164038,15.340891167
5,597.625,600.5,ENSG00000087116,7.352941176,81.668,0.68,81.277
8.25,39.25,157.25,ENSG00000138772,4.941176471,31.824404762,1.669642857,7.943452381
99.25,539.125,1003,ENSG00000282651,28.176470588,35.597077244,3.522442589,19.133872651
5.5,61.375,209.75,ENSG00000069535,4.705882353,44.571875,1.16875,13.0421875
29.25,254.25,703.5,ENSG00000170439,8.470588235,83.052083333,3.453125,30.015625
193.75,244.75,491.5,ENSG00000004939,6.529411765,75.274774775,29.673423423,37.484234234
